region,portfolio_exposure,share_of_world
North America,0.6184046200407992,6.200504392655654
Europe,0.609105617491962,16.179613877164545
Oceania,0.6017638257806437,1.0099096864665225
Africa,0.5868742810933255,6.642162796923365
Asia,0.5731016448044068,64.05071341027997
South America,0.5498055359129558,5.890335077608333
