occupation,beta,share_pre,share_post,change_pp
Writing and translation,0.759,23.04530924968188,12.835397028297708,-10.20991222138417
Software development and technology,0.751,27.50038057913789,36.33575567613968,8.835375097001787
Clerical and data entry,0.608,5.139701897169651,3.187582104841831,-1.95211979232782
Professional services,0.524,2.7758303508198643,1.5836843196219723,-1.192146031197892
Sales and marketing support,0.46,2.94790520151053,1.881072181531397,-1.066833019979133
Creative and multimedia,0.408,38.59087272168019,44.17650868956743,5.585635967887235
