iso3,country,trajectory_exposure_weighted,sample_workers,Writing and translation,Software development and technology,Clerical and data entry,Professional services,Sales and marketing support,Creative and multimedia
KEN,Kenya,0.7027107190242019,1125750.98,50.03045353777973,30.195653838116137,5.082098085315458,2.9352839648427396,3.776170907708204,7.9803396662377315
ETH,Ethiopia,0.6796530408231578,62991.085,11.082712736254663,66.58489848206298,1.377290135580297,1.3268163264690551,0.14005791454457406,19.488224405088435
UGA,Uganda,0.6701538159998376,8030.569,8.457682139335333,63.918858053520246,0.0,8.29033409712313,6.940155797179502,12.392969912841794
NGA,Nigeria,0.6224284526661941,766150.52,17.19085957156304,37.28936123413452,9.88453404691287,3.4551275903330327,4.632712381373833,27.54740517568271
ZAF,South Africa,0.5985840612927678,187646.674,17.69476873328434,30.20874433404559,3.937956289062709,11.407168346612954,7.213850217243925,29.537512079750478
GHA,Ghana,0.5582969378139935,61677.638000000006,4.651092507790263,37.533365009859814,0.8828159080929786,0.947584925350092,4.552559227381567,51.43258242152528
EGY,Egypt,0.540807574005303,3893959.3279999997,4.23780700053578,33.02070729794742,1.7835416127900554,0.48251264117980025,1.0481682925271685,59.42726315501978
TZA,Tanzania,0.5130299184998806,11787.221999999998,14.815042933780322,7.079937919214552,0.0,2.9148852884929117,48.776276547603835,26.413857310908366
RWA,Rwanda,0.4450213437355416,4331.388,7.502167896295599,0.9641251257102804,0.0,0.7580018229722205,12.504813699442302,78.2708914555796
SEN,Senegal,0.436101442664816,17705.568,0.5800548166542864,7.553047719225953,0.0,0.13663498397792154,0.0,91.73026248014185
