date,Clerical and data entry,Creative and multimedia,Microwork,Professional services,Sales and marketing support,Software development and technology,Total,Writing and translation
2016-05-01,6.1696351852462055,23.144052781924785,12.79855219768382,1.9780548451444637,9.020883128996855,34.68338195671294,100.00000000000001,12.205439904290941
2016-06-01,6.500324859938475,24.16758548378784,11.56533486765232,2.053740029250068,9.348902953479556,34.97973532997573,100.87190886685985,12.256285342775818
2016-07-01,6.233255350050314,24.36821562403647,11.954818481392154,2.0002945120596642,9.384975911251956,33.89972804648483,99.88668399125828,12.045396065982803
2016-08-01,6.785256965042597,24.83722730550328,13.0498113757368,2.073799881753654,10.167926655540843,36.65072578580633,106.3466204168809,12.781872447497419
2016-09-01,7.1437481900656685,26.358368513358922,8.64879990073663,2.3053739379709555,10.183347879468664,39.003017730674074,107.22331412898833,13.580657976713422
2016-10-01,5.632532942616585,22.3357866492045,11.35295499318658,2.011843585083367,9.34589559279708,37.768318961026665,101.42398093884057,12.976648214925834
2016-11-01,6.901428452608896,19.18294919302942,12.73572312426124,2.1462455690851994,9.199454830027722,40.05822441066346,103.34272398971356,13.118698410037583
2016-12-01,6.333424696939717,18.84497382064738,10.338120300810987,2.1253236513300013,8.645174761402119,40.53638439641917,99.35068178672685,12.527280159177389
2017-01-01,6.605723094243727,22.288972146369222,6.611542854507332,2.482842453143865,9.367755603939461,42.67880022842246,102.53509013329466,12.49945375266863
2017-02-01,6.420557921714997,26.570829933827326,12.827503737931114,2.5465526967317698,9.90199002411033,39.37655430296022,109.77019667990419,12.126208062628454
2017-03-01,5.656648754366096,25.473532197419555,14.47456991820194,2.446090005916065,9.779124981297649,39.14866503777166,109.35454959935872,12.37591870438583
2017-04-01,7.701123354433897,27.869721913925805,13.04333451068367,3.219990009790091,12.067817047947232,45.74821067455803,125.7917952667211,16.141597755382364
2017-05-01,7.913996062066135,29.77461346153099,13.677150672577433,3.267109664967195,13.33487152893209,49.1514976195743,133.93009006127684,16.810851051628664
2017-06-01,7.721612352957578,29.144625616874805,8.846497976067665,3.0116924231171858,13.104740082478092,47.18335027336394,125.25619156006283,16.243672835203494
2017-07-01,7.310489216255332,28.578887737023134,7.952267133721477,2.963533732628021,12.659145462057287,45.53023985562532,121.16979993866093,16.17523680135047
2017-08-01,9.151690769011685,29.420660341074306,6.616027756679013,3.015353610113438,13.401390105764174,46.589881248930396,125.7529864724773,17.557982640904306
2017-09-01,9.05047115252196,28.46519943189642,9.56255856139008,2.9411948593555013,12.761512250472508,45.29008851905268,124.96451887355985,16.893494098870644
2017-10-01,9.563759939475403,30.084088017079416,9.6462756448093,3.184916534611831,13.04744023477893,48.00137755113305,131.23506436707424,17.707206445186298
2017-11-01,9.53854680729004,30.62576726510176,7.910647886467155,2.7466506475654096,12.951156104283006,47.931871505854666,129.2988855065154,17.59424528995334
2017-12-01,8.021569860476347,25.75201348704977,6.553833607554423,2.577904449396949,10.898238070564991,43.20076556782818,112.3636277115734,15.359302668702796
2018-01-01,9.532935107023084,30.352501173510372,5.056220978563333,3.1569370713089575,13.113832181599308,47.852469898978775,126.23764768426607,17.172751273282255
2018-02-01,10.207270658720365,32.76291838767602,5.611084899426189,3.2904153705159467,13.90931609952265,51.73412926733976,135.5454768307816,18.030342147580676
2018-03-01,10.00479215763934,32.13370226106279,6.618328641608503,3.366071703793148,14.11777326316174,51.27070670384508,136.09068682060172,18.579312089491115
2018-04-01,9.119076164236343,26.50211602526894,11.31982693287439,2.8265264826328784,13.16432167639556,52.13147829437126,133.12361490959265,18.060269333813224
2018-05-01,9.455482581060544,26.85557838110568,6.9436212044362655,2.9285134409664857,13.50239946020315,53.567432921592044,131.44344884764746,18.190420858283236
2018-06-01,9.52918680843757,29.69316906222372,4.923766899116426,2.780693958772778,13.203569267066202,46.61122504033164,123.54657376836434,16.804962732415973
2018-07-01,9.917997372918164,31.65412870807632,7.479179812420091,2.6460618058414274,12.561558915180875,44.22774467213012,127.14926659396845,18.662595307401496
2018-08-01,10.00204295594447,31.29857052920527,7.233679610914757,1.9752196369668003,11.834053348969126,44.921024246516986,124.19015419847298,16.925563869955607
2018-09-01,8.29933047602551,28.54179351765503,3.786358483236406,1.9798547794277905,12.890825445290075,47.54801458446368,119.02307235720568,15.976895071107187
2018-10-01,8.690845545173165,30.29183467232476,4.340118618587461,2.261240566445944,14.319120518704361,52.18626514173123,129.4253288372968,17.33590377432981
2018-11-01,7.8634120079586465,27.9051179148388,6.032784137237795,2.1481544852922454,13.33450268656344,49.1120908153565,122.47753283506817,16.081470787820756
2018-12-01,7.2068956214438575,26.526192112054915,4.250581621828921,2.1592628361237636,11.938073801498579,45.04636390633672,111.98836530315779,14.860995403871081
2019-01-01,8.025989645297507,29.898520595639404,4.685286939090052,2.6697914276513743,14.207672281820857,48.165609866616734,123.44208464435309,15.789213888237233
2019-02-01,8.07267758012519,31.36715059933524,4.627060862994161,2.8421804887114424,15.07089139791721,50.95256020007916,129.56859766443412,16.636076535271773
2019-03-01,7.8653969105366475,31.832963490818237,5.194315656266228,2.7804509409177722,15.039283247348514,52.00023302763489,131.53174034575105,16.81909707222874
2019-04-01,8.279899254207303,28.998136794480406,5.335791880103738,2.5861350537220043,14.150791848623268,51.57582964178505,127.30626057765066,16.37967610472887
2019-05-01,8.966944574681465,24.610441345976405,5.735306032738026,2.4306363882268816,13.78013750127712,50.79626346460347,121.52407596187147,15.204346654368155
2019-06-01,7.814441081848538,25.748429626603773,6.939481786050934,2.4588581170451267,13.813573026178869,51.263296425027974,123.01112999668477,14.973049933929492
2019-07-01,8.680752816665184,26.321756803216342,6.985858675646969,2.906015595734623,14.281961618030477,52.36067477656098,127.19905371767112,15.662033431816589
2019-08-01,7.978146582344686,26.636003587448208,5.621890881028476,2.902605608806109,14.615529381903665,53.929875032770966,127.48757035750845,15.803519283206317
2019-09-01,7.59494043641221,23.738413915934608,4.848445981151544,2.8625188640987482,14.214624207756906,51.150154483555546,120.2055277444201,15.79642985551048
2019-10-01,8.624690920669252,27.72024437258124,5.23927532179565,3.1742856096319167,15.970297954599106,56.43206168744403,134.6318103912897,17.4709545245685
2019-11-01,9.28058258601744,29.15494337918003,5.019950343673444,3.4591826651669333,16.145367722407837,59.83049173634988,141.30274280039566,18.412224367600114
2019-12-01,6.928508942611263,25.743734206575414,4.420642869800493,3.1584037632143764,14.090785643933046,53.545781543506514,124.17476501139431,16.286908041753268
2020-01-01,7.883095228536697,29.870211102679484,3.6581962698028088,3.7492480825850416,16.787677981724052,59.945763012310564,140.0400592000311,18.145867522392358
2020-02-01,7.6820715333980525,30.979725191304063,4.901033891044767,3.993622775512066,17.466903573628297,63.67339283043832,147.5754634006625,18.878713605336998
2020-03-01,6.214012828490865,26.116472857101503,5.655974886088323,3.3632308211318116,14.467929186234503,58.77050237850689,130.97134851378408,16.383225556230155
2020-04-01,7.3753943552205445,30.234630402936336,6.100038825591565,3.971010956614277,16.841114297097615,74.42946045588886,158.0854442545336,19.133794961184364
2020-05-01,8.717278875894024,33.41954280471307,6.176415044842931,4.219459522771782,19.016823626250225,76.2461983284674,166.95438800117557,19.158669798236147
2020-06-01,8.377897019821948,31.401621342579805,7.263663423136618,3.6120930696264826,17.138610005010193,71.96985232179806,157.6587272418504,17.89499005987731
2020-07-01,6.015406435811526,25.318924591094696,5.498432669986597,3.042586766209111,13.573223297363986,57.50722525195505,124.56476167060677,13.608962658185915
2020-08-01,5.732802339482137,22.248984681530015,4.89792360821589,2.6469994969093,12.49690872718054,49.70210211457534,110.06746223079072,12.341741262897475
2020-09-01,6.274418357078948,21.84775601624553,6.299410182774904,2.8745499908329513,13.104537309044458,51.03134792795122,114.34838334655585,12.91636356262784
2020-10-01,7.803140355437298,23.861502801339512,7.432483600902965,3.4347873687522372,14.556576608825273,56.92336447895118,128.50976979573602,14.49791458152756
2020-11-01,9.653705219810623,27.90508851482824,6.7031996802938885,4.2147978982533605,17.20221665158539,64.95032473320506,148.429883058871,17.800550360894476
2020-12-01,8.786499933485413,26.27556141054759,6.240843001115499,4.3486725167347355,15.99239730445425,61.22380798860282,139.45343892705375,16.585656772113484
2021-01-01,9.900560753032945,28.103038475414145,5.175170055095232,5.086424572084687,18.891419050733067,63.34190473535111,147.76718314749994,17.268665505788768
2021-02-01,10.714982747963845,30.32989065080495,6.089919879147033,5.811649551019788,20.757916401582655,69.5534059962277,162.66580801773404,19.40804279098803
2021-03-01,10.57324949087924,30.795904532632182,16.803469780503487,5.897027562224258,20.279420156284353,70.11985463434185,174.05692160983457,19.587995452969285
2021-04-01,8.973486528662447,28.46274925290663,40.12290604746419,5.4202859612347885,19.026619927390204,68.52905616570645,189.34120770167297,18.806103818308245
2021-05-01,9.854461820910336,27.17137846443113,32.52588897549458,5.17667493922316,18.318486584125342,64.85592170786906,176.28247451289198,18.37966202083841
2021-06-01,9.724270374716854,27.65370015047479,25.756771576571893,5.062559828724039,18.78356217160208,62.67116823689344,168.09403955940724,18.442007220424014
2021-07-01,8.950582887770056,25.752013487049762,23.82949239840827,4.516549296551976,17.307432079689303,57.11794030595404,154.504967499425,17.030957044001592
2021-08-01,9.603595107567623,26.542077654212267,21.16148459261223,4.671147687005143,17.88029973511086,59.23821455048196,156.90835597432263,17.811536647332613
