iso3,country,agr,ind,srv,stock_exposure,trajectory_exposure,ratio
TZA,Tanzania,65.09,8.051,26.858999999999998,0.20693328508812475,0.6561560799020102,3.170858084152963
UGA,Uganda,65.41165411654116,7.227072270722706,27.361273612736127,0.2085238623248609,0.6561560799020102,3.1466714292860147
ETH,Ethiopia,61.00800000000001,6.416000000000001,32.576,0.22381821535863577,0.6561560799020102,2.9316473587755874
KEN,Kenya,46.50253497465025,12.314876851231487,41.18258817411826,0.2479208374276743,0.6561560799020102,2.6466354611819587
RWA,Rwanda,36.50263497365026,18.12081879181208,45.376546234537656,0.2592043055232255,0.6561560799020102,2.531424308625987
SEN,Senegal,30.647999999999996,22.26,47.092,0.2635417224188211,0.6561560799020102,2.489761673710417
GHA,Ghana,35.186,17.88,46.934,0.2637719625858867,0.6561560799020102,2.487588420957968
NGA,Nigeria,34.101,16.839,49.06,0.2701192059743978,0.6561560799020102,2.4291352313696692
EGY,Egypt,17.97682023179768,29.21270787292127,52.81047189528104,0.2790785248591074,0.6561560799020102,2.351152172075118
ZAF,South Africa,5.439,20.808,73.753,0.3413118193146564,0.6561560799020102,1.9224534363314796
