date,Clerical and data entry,Creative and multimedia,Microwork,Professional services,Sales and marketing support,Software development and technology,Writing and translation
2016-05-01,6.169635185246205,23.14405278192478,12.798552197683819,1.9780548451444633,9.020883128996854,34.683381956712935,12.20543990429094
2016-06-01,6.444137850626193,23.958687562546746,11.465367313428485,2.0359880687504246,9.26809362338836,34.67738017741416,12.15034540384559
2016-07-01,6.240326639130222,24.395860038930802,11.968380572568007,2.002563737359349,9.39562265584199,33.938185443668964,12.05906091250058
2016-08-01,6.380322137595209,23.354975652391065,12.27101653496959,1.9500383497137157,9.561118741415914,34.46346074951395,12.019067834400586
2016-09-01,6.6624952307217695,24.582684024903507,8.066156106993885,2.1500677876805963,9.497326175926835,36.3755010256015,12.665769648171905
2016-10-01,5.553452832829589,22.022194793037308,11.193560820721974,1.983597534291741,9.214680301725412,37.238056139603955,12.79445757779006
2016-11-01,6.678194831883709,18.562457473966752,12.323773394563236,2.0768231049327,8.901889242771857,38.762500991023565,12.694360960858145
2016-12-01,6.374817548344049,18.96813739144873,10.405686317285191,2.1392139571748188,8.701676330677286,40.80131476443958,12.609153690630254
2017-01-01,6.442402386984152,21.73789686769063,6.448078258781835,2.421456352080242,9.13614606644561,41.62360434163604,12.19041572638153
2017-02-01,5.849090295827464,24.205868931172,11.685780044046751,2.319894446538758,9.020654352096194,35.87180809904566,11.046903831273191
2017-03-01,5.172760324184325,23.294442060935467,13.23636736764249,2.2368433822623595,8.942586309509153,35.799758840578896,11.317241714887375
2017-04-01,6.122118964996814,22.15543697013989,10.368986691880336,2.5597774504788844,9.593485030052543,36.36819919578727,12.831995696664258
2017-05-01,5.909050056223554,22.231459299331654,10.212156705277915,2.4394142223546624,9.956591175912004,36.699368750581804,12.551959790318381
2017-06-01,6.164655221258992,23.268011947257218,7.062723100458945,2.4044259893316484,10.462349141594416,37.66947540532444,12.968359194774278
2017-07-01,6.033260119234395,23.585817383118943,6.562911829306565,2.445769270996761,10.447442736115477,37.575567409266846,13.349231251961102
2017-08-01,7.277513660492392,23.39559573602127,5.261129729214835,2.3978385680513346,10.656915976064905,37.048727474259394,13.962278855895882
2017-09-01,7.242432679374616,22.778625235774122,7.652218923889553,2.3536239613193137,10.212108497280505,36.242358172784684,13.518632529577154
2017-10-01,7.2875035232389225,22.92381854054796,7.350379787087961,2.4268792414376255,9.942038202750652,36.576640383906565,13.492740321030302
2017-11-01,7.377129949669511,23.686025710993867,6.118109878115334,2.124264750469953,10.016448365775275,37.0705991146686,13.607422230307437
2017-12-01,7.138938127796073,22.91846036971386,5.832700261669623,2.2942517092934924,9.69907993584874,38.447286232801574,13.669283362876683
2018-01-01,7.551578536116247,24.04393754977536,4.005319388721094,2.5007888923950774,10.388210190987092,37.9066552465101,13.60351019549505
2018-02-01,7.530513667721557,24.17116317985149,4.139632712666029,2.4275360915390665,10.261733865813458,38.16735938147604,13.302061100932352
2018-03-01,7.351562690566708,23.611977433417078,4.863175281298239,2.4734034212277813,10.373798231889413,37.67392751234437,13.65215542925641
2018-04-01,6.85008153544307,19.90789991938481,8.503244852960123,2.1232344723754975,9.888795226403488,39.16020334166479,13.56654065176819
2018-05-01,7.193574623882654,20.431279471549207,5.282592069296986,2.2279645479789916,10.272401993844072,40.753216224325186,13.83897106912286
2018-06-01,7.713032031388992,24.03398828193731,3.985352850292655,2.2507252722250803,10.687118925548985,37.72765493903727,13.60212769956968
2018-07-01,7.800278867977868,24.895250720681616,5.882204445821694,2.081067297298078,9.879379764961032,34.784113079758924,14.677705823500824
2018-08-01,8.05381313880956,25.20213517022118,5.824680432680951,1.5904800583548089,9.528978706360794,36.171163919103435,13.628748574469295
2018-09-01,6.972875352366979,23.98005105430057,3.1811970639381495,1.663420999153808,10.83052654413324,39.94856933432631,13.423359651780945
2018-10-01,6.714949556820213,23.404873639846215,3.353376543507579,1.7471391316985527,11.063615327340768,40.32152408693946,13.39452171384716
2018-11-01,6.420289359149442,22.783866778584322,4.925625131069319,1.7539171761281418,10.887305106414964,40.09885705445445,13.13013939419937
2018-12-01,6.4353967503092395,23.68656068891376,3.795556449388645,1.9281135413295274,10.660101850028482,40.22414630697938,13.270124413051004
2019-01-01,6.501826073677426,24.22068671456702,3.795534523407275,2.1627886756313828,11.509585505424946,39.01879169116907,12.79078681612294
2019-02-01,6.23042753077592,24.20891416959848,3.5711283029995036,2.193572007371973,11.631592584608244,39.32477553862217,12.839589866023754
2019-03-01,5.979847061904042,24.201735191171718,3.9490967295134882,2.1139011265333654,11.433957467464117,39.53436097701165,12.787101446401609
2019-04-01,6.503921501297231,22.77824881738078,4.191303598026244,2.0314280240323193,11.115550629178971,40.51319189469577,12.86635553538866
2019-05-01,7.378739154120266,20.2514943242177,4.719481294009176,2.000127438936051,11.339429978962091,41.79934145768855,12.511386352066205
2019-06-01,6.352629296275176,20.931788552221015,5.641344637869726,1.9988907646904752,11.229531040444188,41.67370580727903,12.17210990122034
2019-07-01,6.824541978065998,20.693358978628623,5.492068118016556,2.284620451803648,11.228040775940425,41.164358732400515,12.313010965144265
2019-08-01,6.2579799426500005,20.89302001187559,4.409756076818489,2.276775375565198,11.464277922089112,42.30206512018192,12.396125550819677
2019-09-01,6.3182954885074025,19.748188258369456,4.033463412315169,2.3813537678441956,11.825266669915473,42.55224817307116,13.1411842299771
2019-10-01,6.406131578861429,20.589669181463126,3.8915582480606803,2.3577530454402065,11.862202482595704,41.91584553712206,12.976839926456805
2019-11-01,6.567871509137792,20.632963523124474,3.5526205961653754,2.448064769735841,11.426082326805782,42.34205971561816,13.030337559412583
2019-12-01,5.579643289017298,20.731856592773227,3.5600171012160593,2.543514991089019,11.347543635488314,43.12130692463411,13.116117465782018
2020-01-01,5.629171591020683,21.32976183622811,2.6122498738575204,2.6772682788070465,11.987768412568855,42.80615372111843,12.95762628639929
2020-02-01,5.2055208612433645,20.99246343356899,3.3210357454468036,2.7061563511201805,11.835913078725175,43.14632755552809,12.792582974367436
2020-03-01,4.744558942856782,19.94060010335228,4.318482592009855,2.5679134095331153,11.04663680294307,44.872793206616166,12.509014942688706
2020-04-01,4.665448099918302,19.125499216901662,3.858697335707824,2.5119396509526495,10.653172008664956,47.08179225915947,12.103451428695115
2020-05-01,5.22135355665683,20.017169482528217,3.699462541109995,2.527312742892431,11.390430556468107,45.66887953129481,11.475391589049606
2020-06-01,5.313944344463819,19.917464698550642,4.607206686372693,2.2910834895206835,10.870701739662882,45.64913949317593,11.350459548253346
2020-07-01,4.8291397624300725,20.325912602832954,4.414115674645125,2.442574228379921,10.896519300744446,46.16652774082647,10.9252106901411
2020-08-01,5.208444188039451,20.213952634683345,4.449928715487114,2.4048882778445835,11.353862870915364,45.15603531437783,11.21288799865229
2020-09-01,5.487107183722097,19.106309487587154,5.508963046450136,2.5138527600526257,11.46018590339709,44.62795750534612,11.295624113444783
2020-10-01,6.072021113912389,18.56785117525846,5.783594206663637,2.6727830687205887,11.327213979110452,44.294970389745345,11.281566066589129
2020-11-01,6.503882520733188,18.80018224076912,4.516071522898951,2.8395885056256938,11.589456447097353,43.75825365802123,11.99256510485448
2020-12-01,6.300669242069759,18.84181674737472,4.4752162794493735,3.118368790467382,11.467911747102674,43.9026878502639,11.893329343272217
2021-01-01,6.700107927989864,19.018457195168924,3.502245860590996,3.442188220511358,12.784583591795084,42.86601624673576,11.686400957208026
2021-02-01,6.587114328781181,18.645523002288435,3.743822966460845,3.572754238792577,12.761081541684286,42.7584670950916,11.931236826901042
2021-03-01,6.074592951023345,17.693007694152023,9.654008369842419,3.387987968351535,11.651027703306529,40.2855881775976,11.253787135726594
2021-04-01,4.739320424532794,15.032517009056312,21.190794404714087,2.8627080322499157,10.048853156872564,36.193418747851865,9.93238822472245
2021-05-01,5.590154011702198,15.413544959311324,18.451005447575493,2.9365794606227724,10.391552895285496,36.7909072567086,10.426255968794141
2021-06-01,5.785017957927137,16.451327020849845,15.322834553850448,3.0117426185922826,11.17443677410326,37.28339708008767,10.971243994589292
2021-07-01,5.79307127313131,16.667434001528527,15.423123789529262,2.923238889758535,11.201861247440936,36.96835204095727,11.022918757654168
2021-08-01,6.1205122237971885,16.915655950506398,13.486524959878626,2.976991032758992,11.39537765473554,37.753384249450704,11.351553928872592
2021-09-01,6.334464652426804,17.709140320458435,11.132733242335933,3.1148165910404457,11.718682751072913,38.94320040333987,11.046962039325638
2021-10-01,6.579782431864706,17.658118282933927,11.84021166858849,3.15268205912061,11.67544149765061,38.4462738998686,10.647490159973067
2021-11-01,6.637044356086761,17.079057641484727,14.344598938120527,3.128794552510655,11.125330349277405,37.25863669912622,10.426537463393728
2021-12-01,6.776491909880762,17.6163901891151,13.457899791644726,3.1100134968268085,10.877549001777238,37.69954085262931,10.462114758126011
2022-01-01,8.27409129212689,18.286703201615232,11.07500975584927,3.30596039973532,11.617378419495864,36.749294468292085,10.691562462885356
2022-02-01,8.846235816095216,17.429764869913146,13.502008153166434,3.197645757045399,10.757960316281435,35.792300201855795,10.474084885642544
2022-03-01,11.51484099513376,16.83617757726521,10.715469734941657,3.4260755461481573,10.25852056039449,34.18378583898048,13.06512974713624
2022-04-01,13.755914261277072,15.39804725722801,12.048863585209189,3.8815560341457536,10.250122609122117,30.94204083179924,13.723455421218603
2022-05-01,8.49117657255781,16.744866001779705,16.595786481145485,3.301417988928823,10.648495914758879,33.14303544394493,11.075221596884347
2022-06-01,8.35310853982328,17.056345541840663,16.34689084699203,3.293415009535022,11.373349766683225,33.08775286203958,10.489137433086222
2022-07-01,7.372267056047351,18.80500110817048,13.63636363636363,3.466943926573928,12.447035969909912,34.17825899899613,10.094129303938576
2022-08-01,7.388643784740396,18.930245021062355,13.083576360328033,3.584025025548994,12.679154515316938,34.287993220170016,10.046362072833324
2022-09-01,7.310691183591375,17.75728492854749,14.244565014960953,3.4500204859516046,12.82141216493054,33.35950982704892,11.056516394969151
2022-10-01,6.951548553745432,17.044001432188434,14.867266821820415,3.1715940768778297,12.93509117413877,34.11549576737168,10.915002173857447
2022-11-01,7.267071804179142,18.502722399889358,11.331336812661066,3.508212361304382,12.900139154291907,34.73183867134467,11.758678796329493
2022-12-01,7.157152104328612,18.653609753490382,12.882220546228714,3.397746910464335,12.113770925999603,34.42909656691865,11.36640319256967
2023-01-01,7.544246207271716,20.218634782656476,10.797118570494469,3.5605765056897805,13.474144609957522,34.25131735835995,10.153961965570108
