indicator,iso3,year,value
# BX.GSR.CCIS.CD reported in current US dollars, MILLIONS.
# Source: World Bank WDI, ICT service exports (BoP, current US$), retrieved 2026-09-20.
# Egypt series cross-checked against exact JSON values; Kenya/Ethiopia/Rwanda 2020-2024 verified digit-for-digit.
BX.GSR.CCIS.CD.MN,EGY,2024,1711.80
BX.GSR.CCIS.CD.MN,EGY,2023,1450.60
BX.GSR.CCIS.CD.MN,EGY,2022,1655.40
BX.GSR.CCIS.CD.MN,EGY,2021,1399.43
BX.GSR.CCIS.CD.MN,EGY,2020,1073.10
BX.GSR.CCIS.CD.MN,EGY,2019,836.40
BX.GSR.CCIS.CD.MN,EGY,2018,752.40
BX.GSR.CCIS.CD.MN,EGY,2017,681.90
BX.GSR.CCIS.CD.MN,EGY,2016,890.10
BX.GSR.CCIS.CD.MN,EGY,2015,809.90
BX.GSR.CCIS.CD.MN,EGY,2014,1012.50
BX.GSR.CCIS.CD.MN,EGY,2013,949.00
BX.GSR.CCIS.CD.MN,EGY,2012,1083.70
BX.GSR.CCIS.CD.MN,EGY,2011,893.60
BX.GSR.CCIS.CD.MN,EGY,2010,995.70
BX.GSR.CCIS.CD.MN,EGY,2009,1012.60
BX.GSR.CCIS.CD.MN,EGY,2008,1829.50
BX.GSR.CCIS.CD.MN,EGY,2007,844.90
BX.GSR.CCIS.CD.MN,EGY,2006,547.10
BX.GSR.CCIS.CD.MN,EGY,2005,386.90
BX.GSR.CCIS.CD.MN,ETH,2024,42.59
BX.GSR.CCIS.CD.MN,ETH,2023,157.07
BX.GSR.CCIS.CD.MN,ETH,2022,151.10
BX.GSR.CCIS.CD.MN,ETH,2021,161.52
BX.GSR.CCIS.CD.MN,ETH,2020,130.49
BX.GSR.CCIS.CD.MN,ETH,2019,132.00
BX.GSR.CCIS.CD.MN,ETH,2018,77.00
BX.GSR.CCIS.CD.MN,ETH,2017,78.00
BX.GSR.CCIS.CD.MN,ETH,2016,74.00
BX.GSR.CCIS.CD.MN,ETH,2015,97.00
BX.GSR.CCIS.CD.MN,ETH,2014,126.00
BX.GSR.CCIS.CD.MN,ETH,2013,147.00
BX.GSR.CCIS.CD.MN,ETH,2012,164.00
BX.GSR.CCIS.CD.MN,ETH,2011,128.00
BX.GSR.CCIS.CD.MN,ETH,2010,101.00
BX.GSR.CCIS.CD.MN,ETH,2009,100.00
BX.GSR.CCIS.CD.MN,ETH,2008,76.00
BX.GSR.CCIS.CD.MN,ETH,2007,85.00
BX.GSR.CCIS.CD.MN,ETH,2006,55.00
BX.GSR.CCIS.CD.MN,ETH,2005,41.00
BX.GSR.CCIS.CD.MN,GHA,2024,131.00
BX.GSR.CCIS.CD.MN,GHA,2023,180.00
BX.GSR.CCIS.CD.MN,GHA,2022,214.00
BX.GSR.CCIS.CD.MN,GHA,2021,118.00
BX.GSR.CCIS.CD.MN,GHA,2020,122.00
BX.GSR.CCIS.CD.MN,GHA,2019,103.00
BX.GSR.CCIS.CD.MN,GHA,2018,84.00
BX.GSR.CCIS.CD.MN,KEN,2024,853.40
BX.GSR.CCIS.CD.MN,KEN,2023,759.30
BX.GSR.CCIS.CD.MN,KEN,2022,1041.12
BX.GSR.CCIS.CD.MN,KEN,2021,973.33
BX.GSR.CCIS.CD.MN,KEN,2020,567.13
BX.GSR.CCIS.CD.MN,KEN,2019,629.00
BX.GSR.CCIS.CD.MN,KEN,2018,570.00
BX.GSR.CCIS.CD.MN,KEN,2017,473.00
BX.GSR.CCIS.CD.MN,KEN,2016,451.00
BX.GSR.CCIS.CD.MN,KEN,2015,550.00
BX.GSR.CCIS.CD.MN,KEN,2014,756.00
BX.GSR.CCIS.CD.MN,KEN,2013,515.00
BX.GSR.CCIS.CD.MN,KEN,2012,468.00
BX.GSR.CCIS.CD.MN,KEN,2011,387.00
BX.GSR.CCIS.CD.MN,KEN,2010,357.00
BX.GSR.CCIS.CD.MN,KEN,2009,377.00
BX.GSR.CCIS.CD.MN,KEN,2008,436.00
BX.GSR.CCIS.CD.MN,KEN,2007,328.00
BX.GSR.CCIS.CD.MN,KEN,2006,281.00
BX.GSR.CCIS.CD.MN,KEN,2005,178.00
BX.GSR.CCIS.CD.MN,NGA,2024,184.00
BX.GSR.CCIS.CD.MN,NGA,2023,190.00
BX.GSR.CCIS.CD.MN,NGA,2022,263.00
BX.GSR.CCIS.CD.MN,NGA,2021,169.00
BX.GSR.CCIS.CD.MN,NGA,2020,163.00
BX.GSR.CCIS.CD.MN,NGA,2019,212.00
BX.GSR.CCIS.CD.MN,NGA,2018,231.00
BX.GSR.CCIS.CD.MN,NGA,2017,290.00
BX.GSR.CCIS.CD.MN,NGA,2016,118.00
BX.GSR.CCIS.CD.MN,NGA,2015,77.00
BX.GSR.CCIS.CD.MN,NGA,2014,54.00
BX.GSR.CCIS.CD.MN,NGA,2013,52.00
BX.GSR.CCIS.CD.MN,NGA,2012,51.00
BX.GSR.CCIS.CD.MN,NGA,2011,50.00
BX.GSR.CCIS.CD.MN,NGA,2010,47.00
BX.GSR.CCIS.CD.MN,NGA,2009,37.00
BX.GSR.CCIS.CD.MN,NGA,2008,30.00
BX.GSR.CCIS.CD.MN,NGA,2007,27.00
BX.GSR.CCIS.CD.MN,NGA,2006,24.00
BX.GSR.CCIS.CD.MN,NGA,2005,20.00
BX.GSR.CCIS.CD.MN,RWA,2024,34.45
BX.GSR.CCIS.CD.MN,RWA,2023,32.05
BX.GSR.CCIS.CD.MN,RWA,2022,26.38
BX.GSR.CCIS.CD.MN,RWA,2021,27.82
BX.GSR.CCIS.CD.MN,RWA,2020,20.81
BX.GSR.CCIS.CD.MN,RWA,2019,20.00
BX.GSR.CCIS.CD.MN,RWA,2018,18.00
BX.GSR.CCIS.CD.MN,RWA,2017,19.00
BX.GSR.CCIS.CD.MN,RWA,2016,19.00
BX.GSR.CCIS.CD.MN,RWA,2015,22.00
BX.GSR.CCIS.CD.MN,RWA,2014,16.00
BX.GSR.CCIS.CD.MN,RWA,2013,21.00
BX.GSR.CCIS.CD.MN,RWA,2012,18.00
BX.GSR.CCIS.CD.MN,RWA,2011,13.00
BX.GSR.CCIS.CD.MN,RWA,2010,13.00
BX.GSR.CCIS.CD.MN,SEN,2023,128.00
BX.GSR.CCIS.CD.MN,SEN,2022,197.00
BX.GSR.CCIS.CD.MN,SEN,2021,160.00
BX.GSR.CCIS.CD.MN,SEN,2020,115.00
BX.GSR.CCIS.CD.MN,SEN,2019,156.00
BX.GSR.CCIS.CD.MN,SEN,2018,206.00
BX.GSR.CCIS.CD.MN,SEN,2017,263.00
BX.GSR.CCIS.CD.MN,SEN,2016,254.00
BX.GSR.CCIS.CD.MN,SEN,2015,274.00
BX.GSR.CCIS.CD.MN,SEN,2014,297.00
BX.GSR.CCIS.CD.MN,SEN,2013,296.00
BX.GSR.CCIS.CD.MN,SEN,2012,248.00
BX.GSR.CCIS.CD.MN,SEN,2011,200.00
