indicator,iso3,year,value
NY.GDP.PCAP.PP.KD,EGY,2024,16798.152
NY.GDP.PCAP.PP.KD,EGY,2023,16691.387
NY.GDP.PCAP.PP.KD,EGY,2022,16360.391
NY.GDP.PCAP.PP.KD,EGY,2021,15579.016
NY.GDP.PCAP.PP.KD,EGY,2020,15309.236
NY.GDP.PCAP.PP.KD,EGY,2019,15026.568
NY.GDP.PCAP.PP.KD,EGY,2018,14488.209
NY.GDP.PCAP.PP.KD,EGY,2017,14018.361
NY.GDP.PCAP.PP.KD,EGY,2016,13727.320
NY.GDP.PCAP.PP.KD,EGY,2015,13425.912
NY.GDP.PCAP.PP.KD,EGY,2014,13136.366
NY.GDP.PCAP.PP.KD,EGY,2013,13058.075
NY.GDP.PCAP.PP.KD,EGY,2012,13076.805
NY.GDP.PCAP.PP.KD,EGY,2011,13082.426
NY.GDP.PCAP.PP.KD,EGY,2010,13128.988
NY.GDP.PCAP.PP.KD,EGY,2009,12728.081
NY.GDP.PCAP.PP.KD,EGY,2008,12391.585
NY.GDP.PCAP.PP.KD,EGY,2007,11782.006
NY.GDP.PCAP.PP.KD,EGY,2006,11211.832
NY.GDP.PCAP.PP.KD,EGY,2005,10700.609
NY.GDP.PCAP.PP.KD,EGY,2004,10451.822
NY.GDP.PCAP.PP.KD,EGY,2003,10250.377
NY.GDP.PCAP.PP.KD,EGY,2002,10143.506
NY.GDP.PCAP.PP.KD,EGY,2001,10117.333
NY.GDP.PCAP.PP.KD,EGY,2000,9981.628
NY.GDP.PCAP.PP.KD,EGY,1999,9588.859
NY.GDP.PCAP.PP.KD,EGY,1998,9245.479
NY.GDP.PCAP.PP.KD,EGY,1997,8950.654
NY.GDP.PCAP.PP.KD,EGY,1996,8662.331
NY.GDP.PCAP.PP.KD,EGY,1995,8423.578
NY.GDP.PCAP.PP.KD,ETH,2024,2892.222
NY.GDP.PCAP.PP.KD,ETH,2023,2757.959
NY.GDP.PCAP.PP.KD,ETH,2022,2655.593
NY.GDP.PCAP.PP.KD,ETH,2021,2588.413
NY.GDP.PCAP.PP.KD,ETH,2020,2516.549
NY.GDP.PCAP.PP.KD,ETH,2019,2437.970
NY.GDP.PCAP.PP.KD,ETH,2018,2311.165
NY.GDP.PCAP.PP.KD,ETH,2017,2222.828
NY.GDP.PCAP.PP.KD,ETH,2016,2084.841
NY.GDP.PCAP.PP.KD,ETH,2015,1957.415
NY.GDP.PCAP.PP.KD,ETH,2014,1821.392
NY.GDP.PCAP.PP.KD,ETH,2013,1696.865
NY.GDP.PCAP.PP.KD,ETH,2012,1576.769
NY.GDP.PCAP.PP.KD,ETH,2011,1492.534
NY.GDP.PCAP.PP.KD,ETH,2010,1381.190
NY.GDP.PCAP.PP.KD,ETH,2009,1262.464
NY.GDP.PCAP.PP.KD,ETH,2008,1193.747
NY.GDP.PCAP.PP.KD,ETH,2007,1109.143
