timestamp,occupation,status,domain,count
2020-04-08,Software development and technology,new,ru,269
2020-04-08,Writing and translation,new,es,22
2020-04-08,Writing and translation,new,ph,34
2020-04-08,Writing and translation,new,ru,39
2020-04-09,Clerical and data entry,new,es,9
2020-04-09,Clerical and data entry,new,ph,89
2020-04-09,Clerical and data entry,new,ru,9
2020-04-09,Creative and multimedia,new,es,44
2020-04-09,Creative and multimedia,new,ph,34
2020-04-09,Creative and multimedia,new,ru,179
2020-04-09,Professional services,new,es,1
2020-04-09,Professional services,new,ru,21
2020-04-09,Sales and marketing support,new,es,8
2020-04-09,Sales and marketing support,new,ph,181
2020-04-09,Sales and marketing support,new,ru,67
2020-04-09,Software development and technology,new,es,141
2020-04-09,Software development and technology,new,ph,13
2020-04-09,Software development and technology,new,ru,265
2020-04-09,Writing and translation,new,es,20
2020-04-09,Writing and translation,new,ph,37
2020-04-09,Writing and translation,new,ru,55
2020-04-10,Clerical and data entry,new,es,11
2020-04-10,Clerical and data entry,new,ph,57
2020-04-10,Clerical and data entry,new,ru,6
2020-04-10,Creative and multimedia,new,es,60
2020-04-10,Creative and multimedia,new,ph,24
2020-04-10,Creative and multimedia,new,ru,161
2020-04-10,Professional services,new,ru,21
2020-04-10,Sales and marketing support,new,es,10
2020-04-10,Sales and marketing support,new,ph,109
2020-04-10,Sales and marketing support,new,ru,81
2020-04-10,Software development and technology,new,es,171
2020-04-10,Software development and technology,new,ph,6
2020-04-10,Software development and technology,new,ru,261
2020-04-10,Writing and translation,new,es,32
2020-04-10,Writing and translation,new,ph,20
2020-04-10,Writing and translation,new,ru,43
2020-04-11,Clerical and data entry,new,es,6
2020-04-11,Clerical and data entry,new,ph,64
2020-04-11,Clerical and data entry,new,ru,13
2020-04-11,Creative and multimedia,new,es,40
2020-04-11,Creative and multimedia,new,ph,20
2020-04-11,Creative and multimedia,new,ru,179
2020-04-11,Professional services,new,ru,17
2020-04-11,Sales and marketing support,new,es,10
2020-04-11,Sales and marketing support,new,ph,127
2020-04-11,Sales and marketing support,new,ru,56
2020-04-11,Software development and technology,new,es,150
2020-04-11,Software development and technology,new,ph,3
2020-04-11,Software development and technology,new,ru,272
2020-04-11,Writing and translation,new,es,19
2020-04-11,Writing and translation,new,ph,15
2020-04-11,Writing and translation,new,ru,44
2020-04-12,Clerical and data entry,new,es,9
2020-04-12,Clerical and data entry,new,ph,97
2020-04-12,Clerical and data entry,new,ru,8
2020-04-12,Creative and multimedia,new,es,50
2020-04-12,Creative and multimedia,new,ph,36
2020-04-12,Creative and multimedia,new,ru,146
2020-04-12,Professional services,new,ph,2
2020-04-12,Professional services,new,ru,8
2020-04-12,Sales and marketing support,new,es,6
2020-04-12,Sales and marketing support,new,ph,133
2020-04-12,Sales and marketing support,new,ru,55
2020-04-12,Software development and technology,new,es,159
2020-04-12,Software development and technology,new,ph,6
2020-04-12,Software development and technology,new,ru,218
2020-04-12,Writing and translation,new,es,32
2020-04-12,Writing and translation,new,ph,28
2020-04-12,Writing and translation,new,ru,31
2020-04-13,Clerical and data entry,new,es,9
2020-04-13,Clerical and data entry,new,ph,42
2020-04-13,Clerical and data entry,new,ru,6
2020-04-13,Creative and multimedia,new,es,45
2020-04-13,Creative and multimedia,new,ph,18
2020-04-13,Creative and multimedia,new,ru,108
2020-04-13,Professional services,new,ru,10
2020-04-13,Sales and marketing support,new,es,12
2020-04-13,Sales and marketing support,new,ph,66
2020-04-13,Sales and marketing support,new,ru,38
2020-04-13,Software development and technology,new,es,137
2020-04-13,Software development and technology,new,ru,191
2020-04-13,Writing and translation,new,es,16
2020-04-13,Writing and translation,new,ph,17
2020-04-13,Writing and translation,new,ru,26
2020-04-14,Clerical and data entry,new,es,3
2020-04-14,Clerical and data entry,new,ph,78
2020-04-14,Clerical and data entry,new,ru,13
2020-04-14,Creative and multimedia,new,es,48
2020-04-14,Creative and multimedia,new,ph,30
2020-04-14,Creative and multimedia,new,ru,198
2020-04-14,Professional services,new,es,1
2020-04-14,Professional services,new,ru,21
2020-04-14,Sales and marketing support,new,es,11
