indicator,iso3,year,value
NV.IND.MANF.ZS,EGY,2024,13.8934615296088
NV.IND.MANF.ZS,EGY,2023,15.0639098410698
NV.IND.MANF.ZS,EGY,2022,15.9705322282435
NV.IND.MANF.ZS,EGY,2021,15.4852838768741
NV.IND.MANF.ZS,EGY,2020,16.3804560673536
NV.IND.MANF.ZS,EGY,2019,15.9882989635454
NV.IND.MANF.ZS,EGY,2018,16.3508895889589
NV.IND.MANF.ZS,EGY,2017,16.59352061052
NV.IND.MANF.ZS,EGY,2016,16.8413264929505
NV.IND.MANF.ZS,EGY,2015,16.6974467040386
NV.IND.MANF.ZS,EGY,2014,16.7744460093897
NV.IND.MANF.ZS,EGY,2013,16.608374543109
NV.IND.MANF.ZS,EGY,2012,16.1654744133278
NV.IND.MANF.ZS,EGY,2011,15.7671942236161
NV.IND.MANF.ZS,EGY,2010,16.102270843693
NV.IND.MANF.ZS,EGY,2009,15.786154289004
NV.IND.MANF.ZS,EGY,2008,15.5223673925181
NV.IND.MANF.ZS,EGY,2007,15.3699248120301
NV.IND.MANF.ZS,EGY,2006,15.9775619232637
NV.IND.MANF.ZS,EGY,2005,16.709452181987
NV.IND.MANF.ZS,EGY,2004,17.2369668246446
NV.IND.MANF.ZS,EGY,2003,17.3038323353293
NV.IND.MANF.ZS,EGY,2002,18.4967537608868
NV.IND.MANF.ZS,EGY,2001,17.6980763869529
NV.IND.MANF.ZS,EGY,2000,17.9979711849456
NV.IND.MANF.ZS,EGY,1999,17.953511053316
NV.IND.MANF.ZS,EGY,1998,16.9791231732777
NV.IND.MANF.ZS,EGY,1997,16.3155321549455
NV.IND.MANF.ZS,EGY,1996,16.5370531822145
NV.IND.MANF.ZS,EGY,1995,16.3382352941176
NV.IND.MANF.ZS,ETH,2024,4.39391406309022
NV.IND.MANF.ZS,ETH,2023,4.47900683976997
NV.IND.MANF.ZS,ETH,2022,4.24106228559317
NV.IND.MANF.ZS,ETH,2021,4.60568847862545
NV.IND.MANF.ZS,ETH,2020,5.30328095402222
NV.IND.MANF.ZS,ETH,2019,5.59436815447675
NV.IND.MANF.ZS,ETH,2018,5.82761795063908
NV.IND.MANF.ZS,ETH,2017,6.18658862115693
NV.IND.MANF.ZS,ETH,2016,5.69139715520615
NV.IND.MANF.ZS,ETH,2015,4.4046191387627
NV.IND.MANF.ZS,ETH,2014,3.99132524576571
NV.IND.MANF.ZS,ETH,2013,3.702189003056
NV.IND.MANF.ZS,ETH,2012,3.42006071889612
NV.IND.MANF.ZS,ETH,2011,3.68255139559386
NV.IND.MANF.ZS,ETH,2010,3.97390612014563
NV.IND.MANF.ZS,ETH,2009,3.88025579578888
NV.IND.MANF.ZS,ETH,2008,4.10813533633752
NV.IND.MANF.ZS,ETH,2007,4.57968246789691
NV.IND.MANF.ZS,ETH,2006,4.63773836603377
NV.IND.MANF.ZS,ETH,2005,4.84296124606208
NV.IND.MANF.ZS,ETH,2004,5.35070561062316
NV.IND.MANF.ZS,ETH,2003,5.77003750137346
NV.IND.MANF.ZS,ETH,2002,5.76649058338808
NV.IND.MANF.ZS,ETH,2001,5.77622813871001
NV.IND.MANF.ZS,ETH,2000,5.60524515046047
NV.IND.MANF.ZS,ETH,1999,5.59419608494393
NV.IND.MANF.ZS,ETH,1998,5.12890534373707
NV.IND.MANF.ZS,ETH,1997,7.12335673765681
NV.IND.MANF.ZS,ETH,1996,5.08547980361048
NV.IND.MANF.ZS,ETH,1995,4.76718797621731
NV.IND.MANF.ZS,GHA,2024,10.5715045941892
NV.IND.MANF.ZS,GHA,2023,11.1414262606686
NV.IND.MANF.ZS,GHA,2022,11.4844320300242
NV.IND.MANF.ZS,GHA,2021,10.8854255442819
NV.IND.MANF.ZS,GHA,2020,10.9530558483938
NV.IND.MANF.ZS,GHA,2019,10.1612187308728
NV.IND.MANF.ZS,GHA,2018,10.1201333350505
NV.IND.MANF.ZS,GHA,2017,10.1522230921101
NV.IND.MANF.ZS,GHA,2016,10.8204245904679
NV.IND.MANF.ZS,GHA,2015,11.0982995618487
NV.IND.MANF.ZS,GHA,2014,11.0199488260173
NV.IND.MANF.ZS,GHA,2013,11.5885474629749
NV.IND.MANF.ZS,GHA,2012,5.66058649920669
NV.IND.MANF.ZS,GHA,2011,6.42376585885943
NV.IND.MANF.ZS,GHA,2010,6.38865862680317
NV.IND.MANF.ZS,GHA,2009,6.77209063372257
NV.IND.MANF.ZS,GHA,2008,7.54411818600718
NV.IND.MANF.ZS,GHA,2007,8.59640481520955
NV.IND.MANF.ZS,GHA,2006,9.54101659905651
NV.IND.MANF.ZS,GHA,2005,8.65538839902612
NV.IND.MANF.ZS,GHA,2004,8.74199863283443
NV.IND.MANF.ZS,GHA,2003,8.97552363519288
